shipment_id,ship_date,delivery_date,origin_region,destination_region,holiday_period,status,delivery_days
1,2025-12-22,2025-12-31,South,West,Yes,Delivered,9
2,2025-11-20,2025-11-28,North,East,Yes,Delivered,8
3,2025-09-29,2025-10-04,East,West,No,Delivered,5
4,2025-12-25,2025-12-29,East,North,Yes,Delivered,4
5,2025-12-18,2025-12-23,East,East,Yes,Delivered,5
6,2025-12-15,,North,South,Yes,In Transit,
7,2025-10-19,2025-10-21,West,West,No,Delivered,2
8,2025-12-21,2025-12-23,North,West,Yes,Delivered,2
2551,2025-11-02,2025-11-05,South,North,No,Delivered,3
10,2025-09-30,2025-10-02,South,East,No,Delivered,2
11,2025-10-30,2025-10-31,North,East,No,Delivered,1
12,2025-12-22,2025-12-28,North,East,Yes,Delivered,6
13,2025-09-17,2025-09-22,East,North,No,Delivered,5
14,2025-09-22,2025-09-23,East,North,No,Delivered,1
15,2025-09-01,2025-09-02,West,East,No,Delivered,1
16,2025-09-09,2025-09-10,North,West,No,Delivered,1
17,2025-10-29,2025-11-03,North,North,No,Delivered,5
18,2025-09-21,2025-09-26,East,North,No,Delivered,5
19,2025-11-04,2025-11-07,South,South,No,Delivered,3
21,2025-12-15,,North,East,Yes,In Transit,
22,2025-09-12,2025-09-17,South,South,No,Delivered,5
23,2025-10-29,2025-10-31,West,North,No,Delivered,2
2552,2025-11-07,2025-11-12,North,North,No,Delivered,5
26,2025-09-17,2025-09-22,South,West,No,Delivered,5
28,2025-11-21,2025-12-01,West,West,Yes,Delivered,10
30,2025-10-05,2025-10-09,East,East,No,Delivered,4
31,2025-11-10,2025-11-13,East,West,No,Delivered,3
32,2025-11-23,,East,East,Yes,In Transit,
33,2025-09-26,2025-09-28,South,West,No,Delivered,2
2553,2025-09-05,2025-09-06,East,East,No,Delivered,1
35,2025-10-23,2025-10-28,East,West,No,Delivered,5
36,2025-12-24,2025-12-27,West,East,Yes,Delivered,3
37,2025-11-01,2025-11-03,West,East,No,Delivered,2
38,2025-10-17,2025-10-21,East,East,No,Delivered,4
39,2025-12-23,2025-12-31,South,West,Yes,Delivered,8
40,2025-08-13,2025-08-16,West,East,No,Delivered,3
41,2025-09-27,2025-09-30,East,North,No,Delivered,3
42,2025-10-25,2025-10-26,South,West,No,Delivered,1
43,2025-09-19,2025-09-21,West,West,No,Delivered,2
44,2025-09-10,,East,East,No,In Transit,
45,2025-11-08,2025-11-11,South,South,No,Delivered,3
46,2025-11-22,2025-11-30,West,West,Yes,Delivered,8
47,2025-08-30,2025-09-03,East,East,No,Delivered,4
48,2025-08-26,,South,South,No,In Transit,
49,2025-12-27,2026-01-01,East,East,Yes,Delivered,5
50,2025-11-03,2025-11-05,West,North,No,Delivered,2
51,2025-09-14,2025-09-18,South,North,No,Delivered,4
52,2025-10-03,2025-10-06,East,North,No,Delivered,3
54,2025-08-28,2025-08-30,East,North,No,Delivered,2
55,2025-10-26,2025-10-31,North,North,No,Delivered,5
56,2025-10-27,2025-10-30,West,North,No,Delivered,3
2554,2025-11-28,2025-12-01,West,South,Yes,Delivered,3
58,2025-08-28,,South,West,No,In Transit,
59,2025-08-30,2025-09-02,South,North,No,Delivered,3
60,2025-10-30,2025-11-03,South,South,No,Delivered,4
61,2025-08-13,2025-08-15,South,North,No,Delivered,2
62,2025-10-08,,North,West,No,In Transit,
2555,2025-09-25,2025-09-30,East,North,No,Delivered,5
64,2025-11-05,2025-11-07,South,South,No,Delivered,2
65,2025-12-16,2025-12-19,East,North,Yes,Delivered,3
66,2025-10-05,,East,South,No,In Transit,
67,2025-08-14,2025-08-17,South,East,No,Delivered,3
68,2025-12-20,2025-12-28,West,North,Yes,Delivered,8
69,2025-09-22,2025-09-23,South,South,No,Delivered,1
70,2025-09-08,2025-09-11,North,East,No,Delivered,3
72,2025-09-29,2025-10-01,North,North,No,Delivered,2
116,2025-10-25,2025-10-27,West,East,No,Delivered,2
75,2025-08-16,2025-08-18,East,West,No,Delivered,2
76,2025-12-25,2025-12-28,North,South,Yes,Delivered,3
77,2025-08-18,2025-08-20,North,North,No,Delivered,2
78,2025-09-24,2025-09-25,South,North,No,Delivered,1
79,2025-11-06,2025-11-10,South,North,No,Delivered,4
80,2025-10-08,2025-10-11,North,North,No,Delivered,3
82,2025-08-25,,South,East,No,In Transit,
83,2025-09-01,2025-09-05,East,South,No,Delivered,4
85,2025-11-20,2025-11-22,South,West,Yes,Delivered,2
86,2025-09-18,2025-09-23,West,East,No,Delivered,5
87,2025-11-06,2025-11-08,East,East,No,Delivered,2
88,2025-10-18,2025-10-20,West,West,No,Delivered,2
89,2025-11-25,,South,South,Yes,In Transit,
90,2025-08-28,2025-09-01,West,South,No,Delivered,4
102,2025-11-27,,South,South,Yes,In Transit,
92,2025-09-13,2025-09-17,South,South,No,Delivered,4
93,2025-10-06,2025-10-11,South,North,No,Delivered,5
94,2025-10-26,2025-10-27,North,South,No,Delivered,1
95,2025-11-29,2025-12-01,West,West,Yes,Delivered,2
96,2025-11-10,2025-11-15,South,East,No,Delivered,5
97,2025-09-13,2025-09-16,East,West,No,Delivered,3
98,2025-09-25,2025-09-29,South,West,No,Delivered,4
2556,2025-11-22,2025-12-02,North,South,Yes,Delivered,10
100,2025-10-15,,South,South,No,In Transit,
101,2025-10-07,2025-10-09,North,West,No,Delivered,2
103,2025-10-19,2025-10-22,East,North,No,Delivered,3
104,2025-11-26,,North,North,Yes,In Transit,
2557,2025-11-28,2025-11-30,East,East,Yes,Delivered,2
106,2025-10-03,2025-10-04,West,East,No,Delivered,1
107,2025-10-27,2025-10-29,West,West,No,Delivered,2
108,2025-12-26,,East,South,Yes,In Transit,
109,2025-12-16,2025-12-21,West,South,Yes,Delivered,5
110,2025-08-14,2025-08-16,South,East,No,Delivered,2
111,2025-08-13,2025-08-15,South,South,No,Delivered,2
112,2025-09-07,,North,East,No,In Transit,
113,2025-11-23,2025-11-26,North,South,Yes,Delivered,3
114,2025-09-15,2025-09-20,North,East,No,Delivered,5
115,2025-10-16,2025-10-17,East,North,No,Delivered,1
117,2025-11-25,2025-11-27,West,East,Yes,Delivered,2
118,2025-10-03,,South,West,No,In Transit,
119,2025-11-29,2025-12-03,South,South,Yes,Delivered,4
120,2025-11-03,2025-11-06,North,East,No,Delivered,3
121,2025-11-26,2025-12-06,West,West,Yes,Delivered,10
2558,2025-08-24,2025-08-28,East,South,No,Delivered,4
155,2025-09-14,2025-09-15,South,East,No,Delivered,1
124,2025-10-15,2025-10-17,West,South,No,Delivered,2
125,2025-12-17,2025-12-21,North,West,Yes,Delivered,4
140,2025-10-24,2025-10-27,South,North,No,Delivered,3
127,2025-11-22,2025-11-24,East,South,Yes,Delivered,2
128,2025-11-30,2025-12-02,South,East,Yes,Delivered,2
129,2025-09-12,2025-09-14,South,East,No,Delivered,2
130,2025-10-03,2025-10-04,West,North,No,Delivered,1
131,2025-10-27,2025-10-29,West,South,No,Delivered,2
132,2025-08-22,2025-08-26,West,East,No,Delivered,4
133,2025-12-27,,South,North,Yes,In Transit,
134,2025-08-13,2025-08-18,North,West,No,Delivered,5
135,2025-12-26,2025-12-30,North,East,Yes,Delivered,4
136,2025-11-05,,North,South,No,In Transit,
137,2025-11-07,,West,North,No,In Transit,
138,2025-08-13,2025-08-17,West,South,No,Delivered,4
147,2025-08-27,2025-08-28,South,West,No,Delivered,1
141,2025-12-16,2025-12-20,West,North,Yes,Delivered,4
142,2025-09-22,2025-09-23,North,North,No,Delivered,1
143,2025-09-29,2025-10-02,East,East,No,Delivered,3
144,2025-11-26,2025-12-01,North,West,Yes,Delivered,5
145,2025-10-14,2025-10-16,North,West,No,Delivered,2
146,2025-09-22,2025-09-23,West,North,No,Delivered,1
148,2025-12-26,2026-01-05,North,West,Yes,Delivered,10
149,2025-09-11,2025-09-14,South,West,No,Delivered,3
150,2025-10-19,2025-10-22,West,South,No,Delivered,3
152,2025-10-23,2025-10-25,South,West,No,Delivered,2
154,2025-11-22,2025-11-29,West,East,Yes,Delivered,7
156,2025-08-15,2025-08-17,East,East,No,Delivered,2
