shipment_id,ship_date,delivery_date,origin_region,destination_region,holiday_period
1.0,2025-12-22,2025-12-31,South,West,Yes
2.0,2025-11-20,2025-11-28,North,East,Yes
5.0,2025-12-18,2025-12-23,East,East,Yes
10.0,2025-09-30,2025-10-02,South,East,No
12.0,2025-12-22,2025-12-28,North,East,Yes
13.0,2025-09-17,2025-09-22,East,North,No
14.0,2025-09-22,2025-09-23,East,North,No
17.0,2025-10-29,2025-11-03,North,North,No
19.0,2025-11-04,2025-11-07,South,South,No
21.0,2025-12-15,,North,East,Yes
26.0,2025-09-17,2025-09-22,South,West,No
33.0,2025-09-26,2025-09-28,south,WEST ,No
37.0,2025-11-01,2025-11-03,West,East,No
45.0,2025-11-08,2025-11-11,South,South,No
47.0,2025-08-30,2025-09-03,East,East,No
49.0,2025-12-27,2026-01-01,East,East,Yes
50.0,2025-11-03,2025-11-05,West,North,No
51.0,2025-09-14,2025-09-18,South,North,No
53.0,2025-12-18,2025-12-17,North,North,Yes
54.0,2025-08-28,2025-08-30,East,North,No
58.0,2025-08-28,,South,West,No
59.0,2025-08-30,2025-09-02,South,North,No
60.0,2025-10-30,2025-11-03,South,South,No
62.0,2025-10-08,,North,West,No
69.0,2025-09-22,2025-09-23,South,South,No
71.0,,,East,North,No
116.0,2025-10-25,2025-10-27,West,East,No
77.0,2025-08-18,2025-08-20,North,North,No
78.0,2025-09-24,2025-09-25,South,North,No
79.0,2025-11-06,2025-11-10,South,North,No
80.0,2025-10-08,2025-10-11,North,North,No
81.0,,,East,North,No
58.0,2025-09-22,2025-09-23,North,East,No
85.0,2025-11-20,2025-11-22,South,West,Yes
86.0,2025-09-18,2025-09-23,West,East,No
87.0,2025-11-06,2025-11-08,East,East,No
102.0,2025-11-27,,South,South,Yes
101.0,2025-10-07,2025-10-09,North,West,No
102.0,2025-10-08,2025-10-11,West,East,No
107.0,2025-10-27,2025-10-29,West,West,No
108.0,2025-12-26,,East,South,Yes
110.0,2025-08-14,2025-08-16,South,East,No
112.0,2025-09-07,,North,East,No
113.0,2025-11-23,2025-11-26,North,South,Yes
114.0,2025-09-15,2025-09-20,North,East,No
116.0,2025-11-29,2025-12-07,South,East,Yes
120.0,2025-11-03,2025-11-06,North,East,No
155.0,2025-09-14,2025-09-15,South,East,No
124.0,2025-10-15,2025-10-17,west, South,No
125.0,2025-12-17,2025-12-21,North,West,Yes
140.0,2025-10-24,2025-10-27,South,North,No
128.0,2025-11-30,2025-12-02,South,East,Yes
135.0,2025-12-26,2025-12-30,North,East,Yes
136.0,2025-11-05,,North,South,No
147.0,2025-08-27,2025-08-28,South,West,No
140.0,2025-08-27,2025-08-28,South,South,No
141.0,2025-12-16,2025-12-20,West,North,Yes
143.0,2025-09-29,2025-10-02,East,East,No
144.0,2025-11-26,2025-12-01,North,West,Yes
146.0,2025-09-22,2025-09-23,West,North,No
147.0,2025-09-09,2025-09-13,North,East,No
150.0,2025-10-19,2025-10-22,West,South,No
154.0,2025-11-22,2025-11-29,West,East,Yes
155.0,2025-12-20,2025-12-25,West,South,Yes
158.0,2025-11-23,2025-12-01,West,East,Yes
160.0,2025-08-22,,West,East,No
110.0,2025-09-17,2025-09-22,East,North,No
171.0,2025-08-21,2025-08-25,East,South,No
172.0,2025-10-31,2025-11-01,East,South,No
173.0,2025-09-13,2025-09-14,East,East,No
174.0,2025-11-30,2025-12-02,East,East,Yes
175.0,2025-11-20,2025-11-26, north ,WEST ,Yes
176.0,2025-09-21,,North,South,No
177.0,2025-10-20,,West,West,No
178.0,2025-11-24,,South,North,Yes
174.0,2025-12-28,2026-01-05,South,West,Yes
53.0,2025-10-12,2025-10-15,North,East,No
192.0,2025-10-11,2025-10-12,South,East,No
195.0,2025-10-21,2025-10-26,East,West,No
196.0,2025-12-27,2025-12-29,East,South,Yes
197.0,2025-09-22,2025-09-27,South,North,No
198.0,2025-09-16,,North,East,No
200.0,2025-09-29,2025-10-02,South,West,No
