shipment_id,ship_date,delivery_date,origin_region,destination_region,holiday_period,status
20.0,2025-10-15,2025-10-17,,,No,Delivered
151.0,2025-11-23,2025-12-02,,,Yes,Delivered
252.0,2025-08-25,2025-08-26,,,No,Delivered
363.0,2025-09-24,2025-09-26,,,No,Delivered
672.0,2025-08-13,2025-08-18,,,No,Delivered
854.0,2025-10-04,2025-10-05,,,No,Delivered
942.0,2025-10-06,2025-10-08,,,No,Delivered
1044.0,2025-12-30,2026-01-03,,,Yes,Delivered
1103.0,2025-12-18,,,,Yes,In Transit
1418.0,2025-08-18,2025-08-23,,,No,Delivered
1613.0,2025-10-06,2025-10-07,,,No,Delivered
1671.0,2025-10-21,2025-10-25,,,No,Delivered
1687.0,2025-09-19,2025-09-23,,,No,Delivered
1731.0,2025-12-19,2025-12-22,,,Yes,Delivered
1742.0,2025-10-09,2025-10-12,,,No,Delivered
2121.0,2025-09-03,2025-09-06,,,No,Delivered
2141.0,2025-09-15,2025-09-16,,,No,Delivered
2296.0,2025-11-28,,,,Yes,In Transit
2470.0,2025-12-21,2025-12-24,,,Yes,Delivered
2481.0,2025-09-01,2025-09-05,,,No,Delivered
