shipment_id,ship_date,delivery_date,origin_region,destination_region,holiday_period,status
20.0,2025-10-15,2025-10-17,,,No,Delivered
151.0,2025-11-23,2025-12-02,,,Yes,Delivered
244.0,2025-08-22,2025-08-24,West,,No,Delivered
252.0,2025-08-25,2025-08-26,,,No,Delivered
363.0,2025-09-24,2025-09-26,,,No,Delivered
535.0,2025-08-21,2025-08-26,West,,No,Delivered
607.0,2025-09-12,2025-09-16,South,,No,Delivered
672.0,2025-08-13,2025-08-18,,,No,Delivered
764.0,2025-10-15,2025-10-19,North,,No,Delivered
787.0,2025-09-01,2025-09-05,North,,No,Delivered
854.0,2025-10-04,2025-10-05,,,No,Delivered
942.0,2025-10-06,2025-10-08,,,No,Delivered
958.0,2025-11-03,2025-11-05,West,,No,Delivered
1044.0,2025-12-30,2026-01-03,,,Yes,Delivered
1103.0,2025-12-18,,,,Yes,In Transit
1176.0,2025-10-18,2025-10-23,West,,No,Delivered
1179.0,2025-10-27,2025-10-30,East,,No,Delivered
1272.0,2025-12-23,2025-12-30,East,,Yes,Delivered
1274.0,2025-11-21,2025-11-28,East,,Yes,Delivered
1324.0,2025-11-21,2025-12-03,East,,Yes,Delivered
1418.0,2025-08-18,2025-08-23,,,No,Delivered
1439.0,2025-10-05,2025-10-07,South,,No,Delivered
1483.0,2025-11-25,2025-11-27,East,,Yes,Delivered
1551.0,2025-11-26,2025-11-29,South,,Yes,Delivered
1613.0,2025-10-06,2025-10-07,,,No,Delivered
1671.0,2025-10-21,2025-10-25,,,No,Delivered
1687.0,2025-09-19,2025-09-23,,,No,Delivered
1731.0,2025-12-19,2025-12-22,,,Yes,Delivered
1742.0,2025-10-09,2025-10-12,,,No,Delivered
1898.0,2025-11-30,2025-12-06,West,,Yes,Delivered
2055.0,2025-10-21,2025-10-26,South,,No,Delivered
2121.0,2025-09-03,2025-09-06,,,No,Delivered
2141.0,2025-09-15,2025-09-16,,,No,Delivered
2296.0,2025-11-28,,,,Yes,In Transit
2317.0,2025-11-24,2025-12-01,East,,Yes,Delivered
2391.0,2025-11-06,2025-11-08,East,,No,Delivered
2470.0,2025-12-21,2025-12-24,,,Yes,Delivered
2481.0,2025-09-01,2025-09-05,,,No,Delivered
