shipment_id,ship_date,delivery_date,origin_region,destination_region,holiday_period
24.0,,,North,South,No
71.0,,,East,North,No
74.0,,,East,North,Yes
81.0,,,East,North,No
261.0,,,East,West,Yes
360.0,,,East,North,Yes
445.0,,,North,South,Yes
475.0,,,West,North,No
500.0,,,West,East,No
569.0,,,North,West,Yes
598.0,,,East,West,Yes
600.0,,,East,East,No
652.0,,,East,North,Yes
698.0,,,South,West,Yes
709.0,,,North,North,Yes
710.0,,,South,South,Yes
716.0,,,West,South,No
774.0,,,South,East,Yes
864.0,,,West,North,No
867.0,,,West,North,No
922.0,,,West,South,No
1013.0,,,North,East,No
1055.0,,,South,South,Yes
1090.0,,,West,East,Yes
1165.0,,,South,South,No
1234.0,,,West,North,No
1269.0,,,North,North,No
1451.0,,,South,West,No
1487.0,,,South,West,No
1541.0,,,West,West,No
1545.0,,,West,South,No
1577.0,,,South,North,No
1607.0,,,West,North,No
1661.0,,,West,East,No
1712.0,,,North,West,Yes
1842.0,,,West,West,No
1964.0,,,North,East,Yes
1989.0,,,South,North,No
2022.0,,,North,North,No
2071.0,,,East,North,No
2158.0,,,North,North,No
2252.0,,,East,South,Yes
2290.0,,,East,East,Yes
2305.0,,,West,South,No
2310.0,,,South,South,No
2409.0,,,West,South,Yes
2437.0,,,North,West,No
2534.0,,,North,South,No
