shipment_id,ship_date,delivery_date,origin_region,destination_region,holiday_period
2551.0,2025-11-02,2025-11-05,South,North,No
2552.0,2025-11-07,2025-11-12,North,North,No
2553.0,2025-09-05,2025-09-06,East,East,No
2554.0,2025-11-28,2025-12-01,West,South,Yes
2555.0,2025-09-25,2025-09-30,East,North,No
2556.0,2025-11-22,2025-12-02,North,South,Yes
2557.0,2025-11-28,2025-11-30,East,East,Yes
2558.0,2025-08-24,2025-08-28,East,South,No
2559.0,2025-10-27,2025-10-29,South,South,No
2560.0,2025-11-01,2025-11-03,North,South,No
2561.0,2025-10-16,2025-10-20,South,South,No
2562.0,2025-08-18,2025-08-19,South,West,No
2563.0,2025-08-24,2025-08-26,North,North,No
2564.0,2025-08-25,2025-08-26,North,South,No
2565.0,2025-10-02,2025-10-04,North,East,No
2566.0,2025-12-23,,East,South,Yes
2567.0,2025-11-25,2025-12-05,South,North,Yes
2568.0,2025-10-11,2025-10-14,South,East,No
2569.0,2025-08-29,2025-08-31,West,West,No
2570.0,2025-12-30,2026-01-09,North,South,Yes
2571.0,2025-11-24,2025-12-02,East,West,Yes
2572.0,2025-08-29,,North,West,No
2573.0,2025-12-18,2025-12-23,South,East,Yes
2574.0,2025-12-24,2025-12-30,North,South,Yes
2575.0,2025-09-07,2025-09-10,North,South,No
2576.0,2025-12-20,2025-12-24,East,West,Yes
2577.0,2025-10-12,2025-10-15,South,West,No
2578.0,2025-09-08,2025-09-10,North,East,No
2579.0,2025-09-16,2025-09-20,North,East,No
2580.0,2025-09-07,2025-09-10,South,South,No
2581.0,2025-12-20,2025-12-22,North,West,Yes
2582.0,2025-11-26,2025-11-28,West,North,Yes
2583.0,2025-09-21,2025-09-26,North,North,No
2584.0,2025-10-13,2025-10-16,West,West,No
2585.0,2025-08-13,2025-08-15,West,West,No
2586.0,2025-09-29,2025-10-01,West,South,No
2587.0,2025-11-27,2025-12-03,West,South,Yes
2588.0,2025-08-30,2025-09-02,West,East,No
2589.0,2025-11-25,2025-12-06,South,West,Yes
2590.0,2025-09-30,2025-10-05,East,West,No
2591.0,2025-11-09,2025-11-13,North,South,No
2592.0,2025-09-24,2025-09-25,South,North,No
2593.0,2025-09-06,2025-09-10,West,East,No
2594.0,2025-10-24,2025-10-26,North,East,No
2595.0,2025-10-07,2025-10-10,East,East,No
2596.0,2025-09-14,2025-09-17,East,East,No
2597.0,2025-10-07,2025-10-08,South,East,No
2598.0,2025-10-19,2025-10-22,East,South,No
2599.0,2025-08-23,2025-08-26,West,West,No
2600.0,2025-11-28,2025-12-12,East,South,Yes
2601.0,2025-11-27,2025-12-09,North,North,Yes
2602.0,2025-09-03,2025-09-07,North,West,No
2603.0,2025-11-25,2025-12-07,East,South,Yes
2604.0,2025-09-16,2025-09-18,South,West,No
2605.0,2025-08-19,2025-08-21,West,East,No
2606.0,2025-10-04,2025-10-05,South,West,No
2607.0,2025-08-15,2025-08-16,West,North,No
2608.0,2025-11-25,,North,South,Yes
2609.0,2025-10-03,2025-10-08,South,East,No
2610.0,2025-11-28,,West,South,Yes
2611.0,2025-09-17,2025-09-21,West,South,No
2612.0,2025-10-26,2025-10-31,South,South,No
2613.0,2025-10-22,2025-10-24,North,West,No
2614.0,2025-10-04,2025-10-05,East,West,No
2615.0,2025-08-21,,West,North,No
2616.0,2025-09-14,2025-09-16,South,South,No
2617.0,2025-09-26,2025-09-29,East,West,No
2618.0,2025-09-19,2025-09-23,South,South,No
2619.0,2025-09-25,2025-09-30,West,South,No
2620.0,2025-10-19,2025-10-22,West,East,No
2621.0,2025-09-07,2025-09-12,North,South,No
2622.0,2025-10-07,2025-10-10,West,North,No
2623.0,2025-09-20,2025-09-24,North,South,No
2624.0,2025-09-06,2025-09-09,West,West,No
2625.0,2025-12-29,2026-01-04,South,South,Yes
2626.0,2025-11-22,2025-11-30,North,South,Yes
2627.0,2025-12-28,2025-12-31,East,East,Yes
2628.0,2025-12-20,,East,North,Yes
2629.0,2025-09-02,2025-09-03,East,North,No
2630.0,2025-10-29,2025-10-31,South,West,No
