shipment_id,ship_date,delivery_date,origin_region,destination_region,holiday_period
1.0,2025-12-22,2025-12-31,South,West,Yes
2.0,2025-11-20,2025-11-28,North,East,Yes
3.0,2025-09-29,2025-10-04,EAST,WEST ,No
4.0,2025-12-25,2025-12-29,East,North,Yes
5.0,2025-12-18,2025-12-23,East,East,Yes
6.0,2025-12-15,,North,South,Yes
7.0,2025-10-19,2025-10-21,West,West,No
8.0,2025-12-21,2025-12-23,North,West,Yes
,2025-11-02,2025-11-05,South,North,No
10.0,2025-09-30,2025-10-02,South,East,No
11.0,2025-10-30,2025-10-31,North,East,No
12.0,2025-12-22,2025-12-28,North,East,Yes
13.0,2025-09-17,2025-09-22,East,North,No
14.0,2025-09-22,2025-09-23,East,North,No
15.0,2025-09-01,2025-09-02,West,East,No
16.0,2025-09-09,2025-09-10,North,West,No
17.0,2025-10-29,2025-11-03,North,North,No
18.0,2025-09-21,2025-09-26,East,North,No
19.0,2025-11-04,2025-11-07,South,South,No
20.0,2025-10-15,2025-10-17,,,No
21.0,2025-12-15,,North,East,Yes
22.0,2025-09-12,2025-09-17,South,South,No
23.0,2025-10-29,2025-10-31,West,North,No
24.0,,,North,South,No
,2025-11-07,2025-11-12,North,North,No
26.0,2025-09-17,2025-09-22,South,West,No
27.0,2025-09-27,2025-10-08,West,East,No
28.0,2025-11-21,2025-12-01,West,West,Yes
29.0,2025-10-31,2025-10-27,East,North,No
30.0,2025-10-05,2025-10-09,East,East,No
31.0,2025-11-10,2025-11-13,East,West,No
32.0,2025-11-23,,East,East,Yes
33.0,2025-09-26,2025-09-28,south,WEST ,No
,2025-09-05,2025-09-06,East,East,No
35.0,2025-10-23,2025-10-28,East,West,No
36.0,2025-12-24,2025-12-27,West,East,Yes
37.0,2025-11-01,2025-11-03,West,East,No
38.0,2025-10-17,2025-10-21,East,East,No
39.0,2025-12-23,2025-12-31,South,West,Yes
40.0,2025-08-13,2025-08-16,West,East,No
41.0,2025-09-27,2025-09-30,East,North,No
42.0,2025-10-25,2025-10-26,South,West,No
43.0,2025-09-19,2025-09-21,West,West,No
44.0,2025-09-10,,East,East,No
45.0,2025-11-08,2025-11-11,South,South,No
46.0,2025-11-22,2025-11-30,West,West,Yes
47.0,2025-08-30,2025-09-03,East,East,No
48.0,2025-08-26,,South,South,No
49.0,2025-12-27,2026-01-01,East,East,Yes
50.0,2025-11-03,2025-11-05,West,North,No
51.0,2025-09-14,2025-09-18,South,North,No
52.0,2025-10-03,2025-10-06,East,North,No
53.0,2025-12-18,2025-12-17,North,North,Yes
54.0,2025-08-28,2025-08-30,East,North,No
55.0,2025-10-26,2025-10-31,North,North,No
56.0,2025-10-27,2025-10-30,West,North,No
,2025-11-28,2025-12-01,West,South,Yes
58.0,2025-08-28,,South,West,No
59.0,2025-08-30,2025-09-02,South,North,No
60.0,2025-10-30,2025-11-03,South,South,No
61.0,2025-08-13,2025-08-15,South,North,No
62.0,2025-10-08,,North,West,No
,2025-09-25,2025-09-30,East,North,No
64.0,2025-11-05,2025-11-07,South,South,No
65.0,2025-12-16,2025-12-19,East,North,Yes
66.0,2025-10-05,,East,South,No
67.0,2025-08-14,2025-08-17,South,East,No
68.0,2025-12-20,2025-12-28,West,North,Yes
69.0,2025-09-22,2025-09-23,South,South,No
70.0,2025-09-08,2025-09-11,North,East,No
71.0,,,East,North,No
72.0,2025-09-29,2025-10-01,North,North,No
116.0,2025-10-25,2025-10-27,West,East,No
74.0,,,East,North,Yes
75.0,2025-08-16,2025-08-18,East,West,No
76.0,2025-12-25,2025-12-28,North,South,Yes
77.0,2025-08-18,2025-08-20,North,North,No
78.0,2025-09-24,2025-09-25,South,North,No
79.0,2025-11-06,2025-11-10,South,North,No
80.0,2025-10-08,2025-10-11,North,North,No
81.0,,,East,North,No
82.0,2025-08-25,,South,East,No
83.0,2025-09-01,2025-09-05,East,South,No
58.0,2025-09-22,2025-09-23,North,East,No
